id;booking_code;status;quantity;total_amount;booked_at;customer_id;idempotency_key;trip_id;lock_group_id;expires_at;timeout_minutes;created_at;updated_at;is_deleted;deleted_at;deleted_by;payment_transaction_id
3001;BK20250115001;CONFIRMED;2;250000;2025-01-15 08:35:00;550e8400-e29b-41d4-a716-446655440001;idemp_20250115001;1543;lock_001;;;2025-01-15 08:20:00;2025-01-15 08:35:00;false;;NULL;2001
3002;BK20250220002;CONFIRMED;1;180000;2025-02-20 09:05:00;550e8400-e29b-41d4-a716-446655440002;idemp_20250220002;1544;lock_002;2025-02-20 10:05:00;60;2025-02-20 09:00:00;2025-02-20 09:05:00;false;;NULL;2002
3003;BK20250310003;CANCELED;3;320000;2025-03-10 07:50:00;550e8400-e29b-41d4-a716-446655440003;idemp_20250310003;1545;lock_003;;;2025-03-10 07:35:00;2025-03-10 07:50:00;false;;NULL;2003
3004;BK20250405004;PAID;1;150000;2025-04-05 10:25:00;550e8400-e29b-41d4-a716-446655440004;idemp_20250405004;1546;lock_004;;;2025-04-05 10:10:00;2025-04-05 10:25:00;false;;NULL;2004
3005;BK20250501005;DRAFT;4;500000;2025-05-01 11:05:00;550e8400-e29b-41d4-a716-446655440005;idemp_20250501005;1547;lock_005;2025-05-01 13:05:00;120;2025-05-01 11:00:00;2025-05-01 11:05:00;false;;NULL;2005
3006;BK20250612006;CONFIRMED;2;275000;2025-06-12 09:15:00;550e8400-e29b-41d4-a716-446655440006;idemp_20250612006;1548;lock_006;;;2025-06-12 09:05:00;2025-06-12 09:15:00;false;;NULL;2006
3007;BK20250718007;REFUNDED;1;195000;2025-07-18 12:35:00;550e8400-e29b-41d4-a716-446655440007;idemp_20250718007;1549;lock_007;;;2025-07-18 06:15:00;2025-07-18 12:35:00;false;;NULL;2007
3008;BK20250822008;PAID;3;420000;2025-08-22 13:50:00;550e8400-e29b-41d4-a716-446655440008;idemp_20250822008;1550;lock_008;;;2025-08-22 13:35:00;2025-08-22 13:50:00;false;;NULL;2008
3009;BK20250914009;CONFIRMED;2;380000;2025-09-14 14:05:00;550e8400-e29b-41d4-a716-446655440009;idemp_20250914009;1551;lock_009;2025-09-14 15:05:00;60;2025-09-14 14:00:00;2025-09-14 14:05:00;false;;NULL;2009
3010;BK20251005010;CANCELED;1;165000;2025-10-05 15:25:00;550e8400-e29b-41d4-a716-446655440010;idemp_20251005010;1552;lock_010;;;2025-10-05 15:10:00;2025-10-05 15:25:00;false;;NULL;2010
3011;BK20251101011;CONFIRMED;5;750000;2025-11-01 16:35:00;550e8400-e29b-41d4-a716-446655440011;idemp_20251101011;1553;lock_011;;;2025-11-01 12:05:00;2025-11-01 16:35:00;false;;NULL;2011
3012;BK20250225012;CONFIRMED;2;220000;2025-02-25 17:05:00;550e8400-e29b-41d4-a716-446655440012;idemp_20250225012;1554;lock_012;2025-02-25 18:05:00;60;2025-02-25 17:00:00;2025-02-25 17:05:00;false;;NULL;2012
3013;BK20250320013;PAID;2;285000;2025-03-20 18:15:00;550e8400-e29b-41d4-a716-446655440013;idemp_20250320013;1555;lock_013;;;2025-03-20 18:00:00;2025-03-20 18:15:00;false;;NULL;2013
3014;BK20250415014;RECOVERY_FAILED_SEAT_LOCKS;3;310000;2025-04-15 19:05:00;550e8400-e29b-41d4-a716-446655440014;idemp_20250415014;1556;lock_014;;;2025-04-15 18:45:00;2025-04-15 19:05:00;false;;NULL;2014
3015;BK20250510015;CONFIRMED;4;440000;2025-05-10 20:20:00;550e8400-e29b-41d4-a716-446655440015;idemp_20250510015;1557;lock_015;;;2025-05-10 20:05:00;2025-05-10 20:20:00;false;;NULL;2015
3016;BK20250605016;DRAFT;1;175000;2025-06-05 21:05:00;550e8400-e29b-41d4-a716-446655440016;idemp_20250605016;1558;lock_016;2025-06-05 23:05:00;120;2025-06-05 21:00:00;2025-06-05 21:05:00;false;;NULL;2016
3017;BK20250701017;CONFIRMED;6;680000;2025-07-01 22:05:00;550e8400-e29b-41d4-a716-446655440017;idemp_20250701017;1559;lock_017;2025-07-01 23:05:00;60;2025-07-01 22:00:00;2025-07-01 22:05:00;false;;NULL;2017
3018;BK20250820018;CANCELED;2;195000;2025-08-20 22:50:00;550e8400-e29b-41d4-a716-446655440018;idemp_20250820018;1560;lock_018;;;2025-08-20 22:35:00;2025-08-20 22:50:00;false;;NULL;2018
3019;BK20250910019;CANCELED;3;265000;2025-09-10 23:35:00;550e8400-e29b-41d4-a716-446655440019;idemp_20250910019;1561;lock_019;;;2025-09-10 23:15:00;2025-09-10 23:35:00;false;;NULL;2019
3020;BK20251015020;PAID;4;390000;2025-10-15 23:55:00;550e8400-e29b-41d4-a716-446655440020;idemp_20251015020;1562;lock_020;;;2025-10-15 23:45:00;2025-10-15 23:55:00;false;;NULL;2020
3021;BK20251105021;CONFIRMED;4;410000;2025-11-05 00:05:00;550e8400-e29b-41d4-a716-446655440021;idemp_20251105021;1563;lock_021;2025-11-05 01:05:00;60;2025-11-05 00:00:00;2025-11-05 00:05:00;false;;NULL;2021
3022;BK20250125022;CONFIRMED;2;185000;2025-01-25 01:25:00;550e8400-e29b-41d4-a716-446655440022;idemp_20250125022;1564;lock_022;;;2025-01-25 01:10:00;2025-01-25 01:25:00;false;;NULL;2022
3023;BK20250215023;CANCELED;7;590000;2025-02-15 02:35:00;550e8400-e29b-41d4-a716-446655440023;idemp_20250215023;1565;lock_023;;;2025-02-15 01:00:00;2025-02-15 02:35:00;false;;NULL;2023
3024;BK20250330024;CONFIRMED;2;245000;2025-03-30 03:05:00;550e8400-e29b-41d4-a716-446655440024;idemp_20250330024;1566;lock_024;2025-03-30 04:05:00;60;2025-03-30 03:00:00;2025-03-30 03:05:00;false;;NULL;2024
3025;BK20250420025;PAID;3;320000;2025-04-20 04:20:00;550e8400-e29b-41d4-a716-446655440025;idemp_20250420025;1567;lock_025;;;2025-04-20 04:10:00;2025-04-20 04:20:00;false;;NULL;2025
3026;BK20250510026;REFUNDED;3;275000;2025-05-10 05:35:00;550e8400-e29b-41d4-a716-446655440026;idemp_20250510026;1568;lock_026;;;2025-05-10 04:20:00;2025-05-10 05:35:00;false;;NULL;2026
3027;BK20250605027;CONFIRMED;4;460000;2025-06-05 06:50:00;550e8400-e29b-41d4-a716-446655440027;idemp_20250605027;1569;lock_027;;;2025-06-05 06:35:00;2025-06-05 06:50:00;false;;NULL;2027
3028;BK20250701028;CONFIRMED;2;195000;2025-07-01 07:05:00;550e8400-e29b-41d4-a716-446655440028;idemp_20250701028;1570;lock_028;2025-07-01 08:05:00;60;2025-07-01 07:00:00;2025-07-01 07:05:00;false;;NULL;2028
3029;BK20250815029;DRAFT;8;720000;2025-08-15 08:05:00;550e8400-e29b-41d4-a716-446655440029;idemp_20250815029;1571;lock_029;2025-08-15 10:05:00;120;2025-08-15 08:00:00;2025-08-15 08:05:00;false;;NULL;2029
3030;BK20250920030;PAID;2;255000;2025-09-20 09:20:00;550e8400-e29b-41d4-a716-446655440030;idemp_20250920030;1572;lock_030;;;2025-09-20 09:05:00;2025-09-20 09:20:00;false;;NULL;2030
3031;BK20251010031;CANCELED;3;335000;2025-10-10 10:35:00;550e8400-e29b-41d4-a716-446655440031;idemp_20251010031;1573;lock_031;;;2025-10-10 10:20:00;2025-10-10 10:35:00;false;;NULL;2031
3032;BK20251105032;CONFIRMED;4;405000;2025-11-05 11:50:00;550e8400-e29b-41d4-a716-446655440032;idemp_20251105032;1574;lock_032;;;2025-11-05 11:35:00;2025-11-05 11:50:00;false;;NULL;2032
3033;BK20250125033;CONFIRMED;5;485000;2025-01-25 12:55:00;550e8400-e29b-41d4-a716-446655440033;idemp_20250125033;1575;lock_033;;;2025-01-25 12:45:00;2025-01-25 12:55:00;false;;NULL;2033
3034;BK20250220034;PAID;2;210000;2025-02-20 14:10:00;550e8400-e29b-41d4-a716-446655440034;idemp_20250220034;1576;lock_034;;;2025-02-20 14:00:00;2025-02-20 14:10:00;false;;NULL;2034
3035;BK20250315035;CONFIRMED;6;650000;2025-03-15 15:05:00;550e8400-e29b-41d4-a716-446655440035;idemp_20250315035;1577;lock_035;2025-03-15 16:05:00;60;2025-03-15 15:00:00;2025-03-15 15:05:00;false;;NULL;2035
3036;BK20250410036;REFUNDED;3;285000;2025-04-10 16:20:00;550e8400-e29b-41d4-a716-446655440036;idemp_20250410036;1578;lock_036;;;2025-04-10 13:00:00;2025-04-10 16:20:00;false;;NULL;2036
3037;BK20250505037;CONFIRMED;4;355000;2025-05-05 17:30:00;550e8400-e29b-41d4-a716-446655440037;idemp_20250505037;1579;lock_037;;;2025-05-05 17:15:00;2025-05-05 17:30:00;false;;NULL;2037
3038;BK20250601038;DRAFT;5;420000;2025-06-01 18:05:00;550e8400-e29b-41d4-a716-446655440038;idemp_20250601038;1580;lock_038;2025-06-01 20:05:00;120;2025-06-01 18:00:00;2025-06-01 18:05:00;false;;NULL;2038
3039;BK20250720039;CANCELED;6;505000;2025-07-20 19:40:00;550e8400-e29b-41d4-a716-446655440039;idemp_20250720039;1581;lock_039;;;2025-07-20 19:25:00;2025-07-20 19:40:00;false;;NULL;2039
3040;BK20250815040;PAID;2;225000;2025-08-15 20:50:00;550e8400-e29b-41d4-a716-446655440040;idemp_20250815040;1582;lock_040;;;2025-08-15 20:35:00;2025-08-15 20:50:00;false;;NULL;2040
3041;BK20250901041;CONFIRMED;9;780000;2025-09-01 21:55:00;550e8400-e29b-41d4-a716-446655440041;idemp_20250901041;1583;lock_041;;;2025-09-01 16:05:00;2025-09-01 21:55:00;false;;NULL;2041
3042;BK20251010042;CONFIRMED;3;295000;2025-10-10 22:05:00;550e8400-e29b-41d4-a716-446655440042;idemp_20251010042;1584;lock_042;2025-10-10 23:05:00;60;2025-10-10 22:00:00;2025-10-10 22:05:00;false;;NULL;2042
3043;BK20251105043;CANCELED;4;375000;2025-11-05 23:10:00;550e8400-e29b-41d4-a716-446655440043;idemp_20251105043;1585;lock_043;;;2025-11-05 22:45:00;2025-11-05 23:10:00;false;;NULL;2043
3044;BK20250120044;PAID;5;435000;2025-01-20 23:45:00;550e8400-e29b-41d4-a716-446655440044;idemp_20250120044;1586;lock_044;;;2025-01-20 23:30:00;2025-01-20 23:45:00;false;;NULL;2044
3045;BK20250215045;CONFIRMED;6;520000;2025-02-15 00:05:00;550e8400-e29b-41d4-a716-446655440045;idemp_20250215045;1587;lock_045;2025-02-15 01:05:00;60;2025-02-15 00:00:00;2025-02-15 00:05:00;false;;NULL;2045
3046;BK20250310046;REFUNDED;3;240000;2025-03-10 01:55:00;550e8400-e29b-41d4-a716-446655440046;idemp_20250310046;1588;lock_046;;;2025-03-10 01:15:00;2025-03-10 01:55:00;false;;NULL;2046
3047;BK20250405047;CANCELED;8;690000;2025-04-05 02:45:00;550e8400-e29b-41d4-a716-446655440047;idemp_20250405047;1589;lock_047;;;2025-04-05 01:30:00;2025-04-05 02:45:00;false;;NULL;2047
3048;BK20250520048;CONFIRMED;3;305000;2025-05-20 03:55:00;550e8400-e29b-41d4-a716-446655440048;idemp_20250520048;1590;lock_048;;;2025-05-20 03:45:00;2025-05-20 03:55:00;false;;NULL;2048
3049;BK20250615049;CONFIRMED;4;395000;2025-06-15 04:05:00;550e8400-e29b-41d4-a716-446655440049;idemp_20250615049;1591;lock_049;2025-06-15 05:05:00;60;2025-06-15 04:00:00;2025-06-15 04:05:00;false;;NULL;2049
3050;BK20250710050;PAID;5;450000;2025-07-10 05:15:00;550e8400-e29b-41d4-a716-446655440050;idemp_20250710050;1592;lock_050;;;2025-07-10 05:00:00;2025-07-10 05:15:00;false;;NULL;2050
