id;invoice_no;issued_at;gross_amount;vat_amount;net_amount;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;bar;2025-10-28T09:25:12;11307.44;18003.08;29835.4;2025-10-28T04:41:19;2025-10-28T10:18:58;false;2025-10-29T01:47:30;9e657434-2804-4027-855d-ac10bc54362e
2;yet gadzooks absent;2025-10-28T05:31:00;14385.73;10382.72;21681.44;2025-10-28T12:14:11;2025-10-29T00:30:13;true;2025-10-28T09:44:08;8291aab9-85a3-4095-bb99-b794c562d593
3;rout generally among;2025-10-28T21:21:24;24429.88;27357.98;28872.42;2025-10-28T05:30:37;2025-10-28T04:32:31;false;2025-10-28T15:06:58;ade428ce-e238-4d71-b4ed-2f9516ed930a
4;too;2025-10-29T00:17:55;12025.64;31609.43;22541.71;2025-10-28T13:46:00;2025-10-28T22:05:04;true;2025-10-28T20:27:39;0f3600f9-c184-4157-85b4-e473f2ad64ab
5;until;2025-10-28T03:46:44;29168.87;18383.39;31524.5;2025-10-28T13:16:09;2025-10-28T21:48:45;true;2025-10-28T11:18:33;95c88d67-dbee-495a-9e29-aef25c738d34
6;provided weep well-off;2025-10-28T08:21:12;23433.04;27688.71;32382.01;2025-10-28T18:06:56;2025-10-28T17:58:08;true;2025-10-28T14:34:52;90b879f2-ea12-468b-af23-f45b9ce4e8bc
7;under indeed;2025-10-29T01:22:26;27499.86;11490.64;29918.58;2025-10-28T09:02:23;2025-10-28T12:25:17;true;2025-10-28T19:25:41;78299cf9-b416-4307-b288-df1547980640
8;fluff unbearably;2025-10-28T09:48:59;828.94;4007.25;22618.34;2025-10-28T18:08:12;2025-10-28T14:54:48;true;2025-10-28T10:39:19;5b96edd1-e9e5-4175-a8bd-3b15a57b090a
9;athwart;2025-10-28T14:52:00;9940.66;775.96;29965.44;2025-10-28T03:29:24;2025-10-28T16:58:58;false;2025-10-28T19:02:33;c34b4544-b072-409b-8c4c-c015e41e58aa
10;mockingly out phooey;2025-10-28T17:35:35;11442.69;14585.38;7995.09;2025-10-28T06:57:23;2025-10-28T10:51:57;true;2025-10-28T13:49:42;9b1c68c6-762c-4f70-8824-37c1558630a0
