id;transaction_id;order_ref;method;status;amount;time;gateway_create_date;gateway_note;created_at;updated_at;is_deleted;deleted_at;deleted_by
2001;VNPAY20250115001;ORD20250115001;VNPAY;SUCCESS;250000;2025-01-15 08:30:00;20250115083000;Payment successful;2025-01-15 08:25:00;2025-01-15 08:30:00;false;;NULL
2002;MOMO20250220002;ORD20250220002;MOMO;PROCESSING;180000;;20250220090000;Payment processing;2025-02-20 09:00:00;2025-02-20 09:00:00;false;;NULL
2003;CC20250310003;ORD20250310003;CREDIT_CARD;FAILED;320000;2025-03-10 07:45:00;20250310074500;Insufficient funds;2025-03-10 07:40:00;2025-03-10 07:45:00;false;;NULL
2004;ZLP20250405004;ORD20250405004;ZALOPAY;SUCCESS;150000;2025-04-05 10:20:00;20250405102000;Payment completed;2025-04-05 10:15:00;2025-04-05 10:20:00;false;;NULL
2005;BANK20250501005;ORD20250501005;BANK_TRANSFER;INITIATED;500000;;20250501110000;Awaiting confirmation;2025-05-01 11:00:00;2025-05-01 11:00:00;false;;NULL
2006;SEP20250612006;ORD20250612006;SEPAY;SUCCESS;275000;2025-06-12 09:10:00;20250612091000;Transaction complete;2025-06-12 09:05:00;2025-06-12 09:10:00;false;;NULL
2007;VNPAY20250718007;ORD20250718007;VNPAY;REFUNDED;195000;2025-07-18 12:30:00;20250718123000;Refund processed;2025-07-18 06:20:00;2025-07-18 12:30:00;false;;NULL
2008;MOMO20250822008;ORD20250822008;MOMO;SUCCESS;420000;2025-08-22 13:45:00;20250822134500;Payment verified;2025-08-22 13:40:00;2025-08-22 13:45:00;false;;NULL
2009;CC20250914009;ORD20250914009;CREDIT_CARD;PROCESSING;380000;;20250914140000;Card verification;2025-09-14 14:00:00;2025-09-14 14:00:00;false;;NULL
2010;ZLP20251005010;ORD20251005010;ZALOPAY;FAILED;165000;2025-10-05 15:20:00;20251005152000;Payment declined;2025-10-05 15:15:00;2025-10-05 15:20:00;false;;NULL
2011;BANK20251101011;ORD20251101011;BANK_TRANSFER;SUCCESS;750000;2025-11-01 16:30:00;20251101163000;Transfer confirmed;2025-11-01 12:00:00;2025-11-01 16:30:00;false;;NULL
2012;SEP20250225012;ORD20250225012;SEPAY;PROCESSING;220000;;20250225170000;Processing payment;2025-02-25 17:00:00;2025-02-25 17:00:00;false;;NULL
2013;VNPAY20250320013;ORD20250320013;VNPAY;SUCCESS;285000;2025-03-20 18:10:00;20250320181000;Payment approved;2025-03-20 18:05:00;2025-03-20 18:10:00;false;;NULL
2014;MOMO20250415014;ORD20250415014;MOMO;REQUIRES_MANUAL_REVIEW;310000;2025-04-15 19:00:00;20250415190000;Under review;2025-04-15 18:50:00;2025-04-15 19:00:00;false;;NULL
2015;CC20250510015;ORD20250510015;CREDIT_CARD;SUCCESS;440000;2025-05-10 20:15:00;20250510201500;Transaction successful;2025-05-10 20:10:00;2025-05-10 20:15:00;false;;NULL
2016;ZLP20250605016;ORD20250605016;ZALOPAY;INITIATED;175000;;20250605210000;Payment initiated;2025-06-05 21:00:00;2025-06-05 21:00:00;false;;NULL
2017;BANK20250701017;ORD20250701017;BANK_TRANSFER;PROCESSING;680000;;20250701220000;Bank processing;2025-07-01 22:00:00;2025-07-01 22:00:00;false;;NULL
2018;SEP20250820018;ORD20250820018;SEPAY;FAILED;195000;2025-08-20 22:45:00;20250820224500;Payment failed;2025-08-20 22:40:00;2025-08-20 22:45:00;false;;NULL
2019;VNPAY20250910019;ORD20250910019;VNPAY;PAYMENT_SUCCESS_BUT_BOOKING_EXPIRED;265000;2025-09-10 23:30:00;20250910233000;Booking expired;2025-09-10 23:20:00;2025-09-10 23:30:00;false;;NULL
2020;MOMO20251015020;ORD20251015020;MOMO;SUCCESS;390000;2025-10-15 23:55:00;20251015235500;Payment completed;2025-10-15 23:50:00;2025-10-15 23:55:00;false;;NULL
2021;CC20251105021;ORD20251105021;CREDIT_CARD;INITIATED;410000;;20251105003000;Payment started;2025-11-05 00:00:00;2025-11-05 00:00:00;false;;NULL
2022;ZLP20250125022;ORD20250125022;ZALOPAY;SUCCESS;185000;2025-01-25 01:20:00;20250125012000;Successful payment;2025-01-25 01:15:00;2025-01-25 01:20:00;false;;NULL
2023;BANK20250215023;ORD20250215023;BANK_TRANSFER;FAILED;590000;2025-02-15 02:30:00;20250215023000;Transfer rejected;2025-02-15 01:00:00;2025-02-15 02:30:00;false;;NULL
