id;provider;payload_hash;received_at;processing_status;created_at;updated_at;is_deleted;deleted_at;deleted_by;payment_transaction_id
1;hamburger redound;even pfft who;2025-10-28T22:57:35;whoa slide pitiful;2025-10-28T05:06:58;2025-10-28T19:43:09;false;2025-10-28T10:02:51;d8091696-9e6a-41b2-9948-3d749cea0855;1
2;unpleasant;vengeful recklessly essay;2025-10-28T19:38:35;pace round;2025-10-28T22:51:48;2025-10-28T17:02:51;true;2025-10-28T09:39:45;547bef95-e924-4091-8af0-43869cd2e88c;2
3;thoroughly pine govern;ornery um;2025-10-28T06:59:16;dearest smoke monthly;2025-10-28T23:13:20;2025-10-29T01:14:06;false;2025-10-28T10:20:00;c130dcd5-b396-41ff-8e26-b45dafa7bc07;3
4;zowie what;minus lazily fooey;2025-10-28T12:14:16;reluctantly but;2025-10-28T09:53:57;2025-10-28T19:43:40;true;2025-10-28T04:40:26;5400943a-ed99-4477-8dfc-72200bc0abe3;4
5;fence bestride;attest censor;2025-10-28T15:32:44;unruly bobble;2025-10-28T14:41:16;2025-10-28T22:07:12;false;2025-10-28T18:57:50;3725a4b4-e42c-4276-8510-4082c8bd7146;5
6;yum;toward cinch;2025-10-28T21:54:39;or;2025-10-28T14:00:18;2025-10-28T09:35:34;true;2025-10-28T05:46:38;dbdb0c09-41dc-4243-9076-059b5393ed52;6
7;yum;amongst;2025-10-29T01:36:57;untimely;2025-10-28T06:16:10;2025-10-29T03:18:50;true;2025-10-28T14:02:10;1dfd330b-87c2-44c3-a699-9a43e5743fba;7
8;ugh;about yippee unit;2025-10-29T01:47:38;tributary;2025-10-28T12:06:23;2025-10-28T21:41:24;false;2025-10-28T04:48:52;a576524c-10a3-4bf3-ae3b-12e2e4ac4891;8
9;ew while whoa;when than yum;2025-10-28T04:08:24;yippee very;2025-10-28T16:19:49;2025-10-28T09:16:49;true;2025-10-29T00:15:44;d83d188b-f80e-4554-a7d7-801538579665;9
10;bah nor;metallic;2025-10-28T21:35:47;worth;2025-10-28T10:58:19;2025-10-28T04:32:58;false;2025-10-28T03:33:47;c490104a-e227-40fb-9346-6e407d4cf587;10
