id;base_fare;vehicle_factor;floor_factor;seat_factor;schedule_occasion_factor;final_price;created_at;updated_at;is_deleted;deleted_at;deleted_by;booking_id
1;2708.18;24290.02;3108.98;6925.01;15427.73;1633.4;2025-10-28T20:00:32;2025-10-28T20:58:40;false;2025-10-28T08:04:33;39ee6632-9979-40a2-8807-82b9f49f7c38;1
2;16380.93;5310.93;26106.85;7241.95;23794.06;2960.96;2025-10-29T03:16:07;2025-10-28T07:22:21;true;2025-10-28T22:48:15;096c6937-0e67-4fa9-825e-93e6934f6487;2
3;614.58;5412.37;23843.69;8506.32;7267.48;18917.15;2025-10-28T23:31:08;2025-10-28T04:22:24;true;2025-10-28T05:22:31;d98b4885-728b-434e-9179-1535b80e9bd9;3
4;9972.14;20023.05;22122.26;18961.35;22409.06;1860.31;2025-10-28T19:37:28;2025-10-28T13:50:10;false;2025-10-28T10:51:49;065c36fb-736d-41f1-ac25-ff2cfaa5f18f;4
5;12773.07;1107.41;9162.62;25590.51;29180.57;10315.24;2025-10-29T00:08:38;2025-10-28T14:15:33;false;2025-10-28T14:49:13;bc18064f-6f1e-49fb-87ec-3fc93f3c8c17;5
6;5166.95;21080.05;25944.55;4169.95;26284.31;23423.29;2025-10-28T18:25:35;2025-10-28T19:36:51;false;2025-10-28T23:30:16;333806ca-5bc3-4701-a759-cf0e68872faf;6
7;16921.83;2490.64;13862.88;9458.43;5061.94;24150.14;2025-10-28T13:08:54;2025-10-28T22:54:42;true;2025-10-28T19:04:19;69c50ba7-69f4-4521-b211-7e6930ad44e3;7
8;8732.53;12485.88;12067.24;15738.91;3624.5;12614.09;2025-10-28T17:12:20;2025-10-28T07:49:46;false;2025-10-28T23:12:51;2ce52082-b5d8-4ad3-8b62-e04099419148;8
9;3595.57;21047.71;6322.08;26444.6;8661.92;31444.82;2025-10-28T11:34:01;2025-10-28T15:33:39;true;2025-10-28T22:21:24;1d4fd4a7-beec-4d1f-8cda-e59f0e43d755;9
10;22526.17;4335.76;2759.02;662.19;4089.32;20539.02;2025-10-28T07:36:07;2025-10-28T12:53:16;false;2025-10-29T00:23:29;77962de9-49bf-4f68-ab8f-26fc4e37c316;10
