id;ticket_code;price;qr_code;time_from;time_to;checked_in;status;exchange_status;refund_status;exchange_reason;refund_reason;exchange_requested_at;exchange_completed_at;refund_requested_at;refund_completed_at;refund_amount;refund_transaction_id;trip_id;route_id;seat_id;created_at;updated_at;is_deleted;deleted_at;deleted_by;qr_code_img_id;original_ticket_id;exchanged_ticket_id;booking_id
6001;TK20250115001;125000;QR_VNPAY_001_ABC123;2025-01-20 08:00:00;2025-01-20 12:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;101;201;2025-01-15 08:40:00;2025-01-15 08:40:00;2025-01-20 12:30:00;;NULL;1;;;3001
6002;TK20250220002;180000;QR_MOMO_002_DEF456;2025-02-25 10:00:00;2025-02-25 14:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;102;202;2025-02-20 09:10:00;2025-02-20 09:10:00;2025-02-20 09:10:00;;NULL;2;;;3002
6003;TK20250310003;106667;QR_CC_003_GHI789;2025-03-15 07:30:00;2025-03-15 11:30:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;103;203;2025-03-10 07:50:00;2025-03-10 07:50:00;2025-03-15 11:45:00;;NULL;3;;;3003
6004;TK20250405004;150000;QR_ZLP_004_JKL012;2025-04-10 09:00:00;2025-04-10 13:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;104;204;2025-04-05 10:30:00;2025-04-05 10:30:00;2025-04-05 10:30:00;;NULL;4;;;3004
6005;TK20250501005;125000;QR_BANK_005_MNO345;2025-05-05 08:00:00;2025-05-05 12:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;105;205;2025-05-01 11:10:00;2025-05-01 11:10:00;2025-05-01 11:10:00;;NULL;5;;;3005
6006;TK20250612006;137500;QR_SEP_006_PQR678;2025-06-15 14:00:00;2025-06-15 18:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;106;206;2025-06-12 09:20:00;2025-06-12 09:20:00;2025-06-15 18:30:00;;NULL;6;;;3006
6007;TK20250718007;195000;QR_VNPAY_007_STU901;2025-07-20 07:00:00;2025-07-20 11:00:00;1;REFUNDED;;REFUND_COMPLETED;;Customer request;NULL;NULL;2025-07-18 13:00:00;2025-07-18 14:00:00;195000;REF_VNPAY_007;1;207;1007;2025-07-18 14:00:00;2025-07-18 14:00:00;;;NULL;7;;;3007
6008;TK20250822008;140000;QR_MOMO_008_VWX234;2025-08-25 16:00:00;2025-08-25 20:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;108;208;2025-08-22 14:00:00;2025-08-22 14:00:00;2025-08-25 20:30:00;;NULL;8;;;3008
6009;TK20250914009;190000;QR_CC_009_YZA567;2025-09-18 08:30:00;2025-09-18 12:30:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;109;209;2025-09-14 14:10:00;2025-09-14 14:10:00;2025-09-14 14:10:00;;NULL;9;;;3009
6010;TK20251005010;165000;QR_ZLP_010_BCD890;2025-10-10 10:00:00;2025-10-10 14:00:00;1;CANCELLED;;;;;;;;NULL;NULL;NULL;1;110;210;2025-10-05 15:30:00;2025-10-05 15:30:00;2025-10-05 16:00:00;;NULL;10;;;3010
