id;street_address;latitude;longitude;created_at;updated_at;is_deleted;deleted_at;deleted_by;ward_id
1;short-term yowza concerning;2105.15;8413.57;2025-10-28T09:22:39;2025-10-29T02:36:20;true;2025-10-28T04:45:54;b8f2b449-17e1-4ac2-8493-491a05e4e5a7;1
2;admonish gestate pleasing;17289.79;24742.59;2025-10-28T09:14:59;2025-10-28T18:58:07;true;2025-10-28T08:05:16;20063f53-2b16-4280-a2a7-d660356a5b75;2
3;aw pfft;24798.97;3570.96;2025-10-28T20:07:58;2025-10-28T15:18:18;false;2025-10-28T07:15:05;cf9ba404-664d-4754-97c7-3392461e48d7;3
4;elver waist;8358.86;29693.48;2025-10-28T17:08:02;2025-10-28T09:09:33;true;2025-10-28T09:17:03;3b6a6000-bbec-4646-b853-1a2cf55188b2;4
5;young inasmuch solidly;5035.01;11357.65;2025-10-29T02:55:20;2025-10-28T08:46:17;true;2025-10-29T04:08:18;fcf8f873-fa60-482d-9442-e3703c6ca85a;5
6;less;4408.27;6393.17;2025-10-29T02:09:28;2025-10-29T01:54:45;true;2025-10-28T12:54:25;ed6c5283-a177-47fe-9678-2a1743af7e2d;6
7;whoever;19211.58;19671.98;2025-10-28T08:03:13;2025-10-28T17:49:22;false;2025-10-29T01:59:50;ffea2673-9dca-401d-90c6-1ba748dde9f8;7
8;convalesce amendment aside;29213.18;6169.82;2025-10-28T09:33:12;2025-10-28T20:46:47;true;2025-10-28T15:08:31;77aa885e-863c-4ee0-9a9a-90fb3494e893;8
9;annually;19234.22;5195.31;2025-10-28T11:48:05;2025-10-29T00:29:16;true;2025-10-28T11:20:03;017a99e0-2ed0-42f0-bf34-5263cdf1f2cf;9
10;tomb;5578.41;7881.83;2025-10-28T19:25:18;2025-10-28T12:55:52;true;2025-10-28T05:19:38;bf637a88-1c73-439f-a777-c0950e0892c6;10
