id;created_at;updated_at;is_deleted;deleted_at;deleted_by;staff_id
1;2025-10-28T13:09:04;2025-10-28T23:08:15;true;2025-10-28T05:42:07;f40a48b3-50ca-4d92-8b79-d037d1f036b2;1
2;2025-10-28T22:28:01;2025-10-28T14:20:49;false;2025-10-28T09:28:10;c15e119d-e642-4e04-8f5e-b906fcea8ea9;2
3;2025-10-28T06:55:41;2025-10-28T11:34:33;true;2025-10-28T08:58:09;d17a9b7c-e915-45a7-ba3f-fe8ecea3d103;3
4;2025-10-28T23:17:04;2025-10-28T19:18:29;false;2025-10-28T10:44:16;e3f8f870-4f4b-4460-9ce3-1bac798af346;4
5;2025-10-28T07:36:01;2025-10-28T16:38:00;true;2025-10-28T15:10:14;8739dcd5-e816-47fc-bd8f-f614b684f2f6;5
6;2025-10-28T21:16:47;2025-10-28T18:01:01;false;2025-10-28T01:08:59;26838a33-fb48-431f-82ff-4409eb7d6902;6
7;2025-10-28T15:32:59;2025-10-28T02:12:05;true;2025-10-28T22:54:32;8d06afe1-6876-4a58-bd2b-b33d20957bff;7
8;2025-10-28T00:50:35;2025-10-28T11:28:09;false;2025-10-28T05:05:42;05c78cf1-9980-4601-8672-d336c85ede44;8
9;2025-10-28T20:06:29;2025-10-28T13:31:12;true;2025-10-28T23:41:02;d842adea-349f-4050-bca8-833fdf897278;9
10;2025-10-28T06:25:27;2025-10-28T23:18:48;false;2025-10-28T11:21:30;3fc4c55d-69ad-4025-a3de-6d94399c2a50;10
