id;license_class;years_experience;created_at;updated_at;is_deleted;deleted_at;deleted_by;staff_id
1;irritably well-made before;31072;2025-10-28T10:17:19;2025-10-28T09:04:06;true;2025-10-28T11:35:24;5c279d65-5226-4941-b4c4-bcc163cc4415;1
2;enormously costume bashfully;32011;2025-10-28T01:01:34;2025-10-28T09:23:48;true;2025-10-28T05:18:08;590d1a19-fc41-4b90-a4d1-38febe41e8e1;2
3;and;21179;2025-10-28T15:09:14;2025-10-28T14:32:01;true;2025-10-28T03:06:49;53be4da6-bdec-4401-b3cb-b74c99d57b06;3
4;what;2936;2025-10-28T04:51:54;2025-10-28T16:31:38;false;2025-10-28T08:41:53;b6d841b5-69d5-42ca-99d7-2f2554f77fe0;4
5;unfit amid worth;23417;2025-10-28T14:33:36;2025-10-28T18:14:06;true;2025-10-28T09:13:06;3e7e5fa5-4fed-4c2d-a2ad-d3c99abf820b;5
6;however curiously;12512;2025-10-28T12:37:15;2025-10-28T11:35:30;false;2025-10-28T07:03:01;9fd0998a-0fc4-436a-a868-5c0bacb50aef;6
7;informal;20155;2025-10-28T05:50:23;2025-10-28T02:28:58;false;2025-10-28T04:52:44;fa263fcb-5daf-476b-86a6-1d751aa92d41;7
8;brush kiss up;14765;2025-10-28T10:27:33;2025-10-28T05:28:27;false;2025-10-28T02:35:21;c180f12b-f200-4edd-ae3b-b9a70e1664f6;8
9;minor vamoose airmail;8644;2025-10-28T17:10:22;2025-10-28T00:02:30;false;2025-10-28T02:19:11;b0239f44-92f3-40a3-bef5-d6af9ef2a84b;9
10;masterpiece;17359;2025-10-28T22:12:40;2025-10-28T04:01:11;false;2025-10-28T07:53:07;a0bc49b0-828d-4a31-9f35-cf2c5ee0bcd6;10
