id;floor_no;price_factor_floor;created_at;updated_at;is_deleted;deleted_at;deleted_by;seat_map_id
1;14944;31345.77;2025-10-28T23:07:47;2025-10-28T13:34:16;true;2025-10-28T20:50:50;e382e3c7-0b2e-423e-993e-4852c3c1bc04;1
2;27377;17910.92;2025-10-28T18:01:24;2025-10-28T23:36:04;false;2025-10-28T13:48:44;1a7b251b-04af-4d8f-bccd-519259389965;2
3;10861;32753.26;2025-10-28T11:31:17;2025-10-28T08:35:35;false;2025-10-28T01:25:48;84aece73-d03d-4605-b7fe-6bb017cf15af;3
4;32531;28419.69;2025-10-28T01:20:05;2025-10-28T05:31:17;false;2025-10-28T03:36:44;60bfbb20-1468-41b2-9030-960f4765f0de;4
5;2260;12579.19;2025-10-28T23:12:53;2025-10-28T15:57:53;true;2025-10-28T13:14:49;bc08e95b-64ac-496f-9b8f-48e696865069;5
6;2384;25907.37;2025-10-28T23:22:55;2025-10-28T23:25:28;false;2025-10-28T21:52:22;e9c3baba-d6e2-4440-84ff-6ab566b9e6cf;6
7;19872;31526.3;2025-10-28T22:57:30;2025-10-28T13:53:42;false;2025-10-28T16:34:52;74c9fdde-5045-4c06-9103-45ceb8d56475;7
8;12766;8702.87;2025-10-28T23:44:35;2025-10-28T02:43:07;false;2025-10-28T17:05:44;3a365d8a-fc79-40fd-b554-77d9c49a64c5;8
9;11004;31063.14;2025-10-28T07:21:07;2025-10-28T08:53:15;false;2025-10-28T02:31:39;aa9c1e2d-8343-435f-8f5a-228cccd5163c;9
10;16255;9360.96;2025-10-28T11:34:22;2025-10-28T06:17:09;false;2025-10-28T22:40:21;ac403622-b554-4bd1-9a7d-241a28d9b1f4;10
