id;route_code;distance_km;base_fare;created_at;updated_at;is_deleted;deleted_at;deleted_by;origin_id;destination_id
1;into psst;4122.46;6794.75;2025-10-28T07:53:11;2025-10-28T21:35:55;true;2025-10-28T14:00:13;c86508a7-0bd1-4fea-9c14-982cb7706802;1;1
2;aha;4939.27;6583.61;2025-10-28T17:31:54;2025-10-28T09:39:46;true;2025-10-29T00:53:48;9b64fc3a-e559-4545-8410-180ce04ed6a4;2;2
3;in;18155.33;26418.94;2025-10-29T01:40:49;2025-10-28T16:59:07;true;2025-10-29T02:33:26;0200a3ab-1d90-45bc-9146-341db27c46e2;3;3
4;scale so;7625.41;22590.82;2025-10-28T05:46:07;2025-10-28T09:37:59;false;2025-10-28T07:36:19;c99876bc-7532-4db3-884e-6b34916095a2;4;4
5;notwithstanding;6763.46;11386.72;2025-10-28T14:19:08;2025-10-28T23:35:35;false;2025-10-28T13:25:31;64e53916-dc6f-4028-90e9-99d6bcaec1ae;5;5
6;ultimately brown;4219.45;30555.13;2025-10-28T05:56:06;2025-10-28T17:03:34;true;2025-10-28T09:07:07;5806084c-21e0-4e8b-8f01-52f509781b0d;6;6
7;anti;24489.5;29654.67;2025-10-28T11:19:49;2025-10-28T11:01:26;false;2025-10-29T02:17:17;3aa0f793-98d4-460d-a3ee-b28639f8974f;7;7
8;meanwhile enthusiastically;29705.95;5012.84;2025-10-29T02:27:48;2025-10-29T04:02:53;false;2025-10-28T23:00:02;071f107e-e805-4c8b-bc31-82da3e31d7ac;8;8
9;whose;27619.64;14076.88;2025-10-29T01:02:35;2025-10-28T13:52:36;true;2025-10-28T23:31:49;f35a2629-4c61-4887-bfbc-6f6cfc39d77e;9;9
10;phew for brush;2714.44;9204.03;2025-10-28T07:35:40;2025-10-28T14:23:31;false;2025-10-28T14:54:46;006e4591-b018-4aad-8e68-9849451c0e98;10;10
