id;schedule_code;start_date;end_date;days_of_week;occasion;occasion_factor;active;created_at;updated_at;is_deleted;deleted_at;deleted_by;route_id
1;hm;2025-10-28;2025-10-28;cinema yippee er;WEEKEND;15937.62;true;2025-10-28T12:22:30;2025-10-28T16:08:47;false;2025-10-28T02:02:00;fae53b79-894e-448b-a852-62d6fd9506d8;1
2;whoever;2025-10-28;2025-10-28;who;HOLIDAY;19489.72;true;2025-10-28T23:10:49;2025-10-28T11:09:55;false;2025-10-28T07:26:37;c830b526-276b-40ac-a695-8cfe29680452;2
3;very;2025-10-28;2025-10-28;courageously thoughtfully about;TET;9348.68;true;2025-10-28T06:38:28;2025-10-28T08:30:08;true;2025-10-28T04:41:47;46741100-5aba-4d52-a39f-24bd6da09b28;3
4;neat sashay;2025-10-28;2025-10-28;ouch;TET;12819.46;false;2025-10-28T02:02:29;2025-10-28T19:30:29;false;2025-10-28T14:42:50;1855ee78-c7e1-4283-a5b9-2d8ab607fbae;4
5;hmph rationalise;2025-10-28;2025-10-28;bah flawless free;NORMAL;7948.77;false;2025-10-28T11:08:32;2025-10-28T18:23:16;true;2025-10-28T20:42:40;c57dd9fd-90b9-404a-94b4-224b49a15101;5
6;gadzooks access;2025-10-28;2025-10-28;too reporter;HOLIDAY;1782.45;false;2025-10-28T03:23:49;2025-10-28T03:22:30;true;2025-10-28T04:31:01;09bcff89-1257-4cb2-859f-890f728bf47f;6
7;extension;2025-10-28;2025-10-28;by;PEAK;31236.25;false;2025-10-28T17:50:35;2025-10-28T06:15:08;true;2025-10-28T19:53:44;cbd3b737-9ccd-4ff5-8701-c825162f7471;7
8;with hmph aha;2025-10-28;2025-10-28;amidst;HOLIDAY;16714.99;true;2025-10-28T23:29:56;2025-10-28T01:02:59;true;2025-10-28T16:38:51;b8c7413d-ff9f-4c3e-88ff-652da09b2858;8
9;divine;2025-10-28;2025-10-28;delight how;HOLIDAY;20451.78;true;2025-10-28T22:34:32;2025-10-28T10:50:29;false;2025-10-28T05:59:36;68befbc8-c128-4630-882a-964fd58c7a74;9
10;vice bruised abnegate;2025-10-28;2025-10-28;until likely finally;HOLIDAY;12300.84;true;2025-10-28T08:43:20;2025-10-28T02:12:42;false;2025-10-28T02:05:32;b48cd247-7f64-4b29-a504-43f88e8a752b;10
