id;slot_code;departure_time;arrival_time;buffer_minutes;sequence;active;created_at;updated_at;is_deleted;deleted_at;deleted_by;schedule_id
1;ah sticky;05:07:00;06:12:00;8912;8562;false;2025-10-29T04:32:57;2025-10-28T07:27:58;false;2025-10-29T02:51:42;94a3dad0-22bd-4167-a2e1-5437f9efe8ea;1
2;finished;00:50:00;08:30:00;14188;8163;false;2025-10-28T12:06:51;2025-10-28T06:59:34;false;2025-10-28T05:32:25;755ee781-ed1b-4a1b-a542-63436310d35a;2
3;pro frenetically;10:05:00;14:05:00;13412;13507;false;2025-10-28T17:56:16;2025-10-28T22:25:49;false;2025-10-28T11:37:43;9ed1c8f5-4bd7-4501-a0c1-203e1ba30e27;3
4;limited respray orange;17:32:00;22:37:00;3077;10357;true;2025-10-28T20:42:55;2025-10-28T06:05:09;true;2025-10-28T10:49:01;dd6a6f4e-08b0-4d8e-aaa9-8cca8d725038;4
5;upliftingly;18:14:00;08:08:00;11304;16863;false;2025-10-28T16:56:30;2025-10-28T16:03:31;false;2025-10-28T22:09:10;0845df88-02f5-422d-8e09-0e1a60b9632f;5
6;fiercely minor;19:00:00;23:34:00;18137;13938;true;2025-10-28T17:04:53;2025-10-28T22:01:02;true;2025-10-28T13:03:32;dd8fe463-b37a-4663-8d24-fc92a8dbd95f;6
7;absent indeed downshift;18:12:00;01:44:00;14518;21775;false;2025-10-28T15:13:41;2025-10-28T14:33:22;true;2025-10-29T00:13:50;ddb9a500-10fc-43b6-9b16-958c6c48a418;7
8;incidentally;06:22:00;07:01:00;11421;25451;true;2025-10-28T09:38:27;2025-10-28T22:05:57;false;2025-10-28T09:52:25;104f4cc1-96c7-476c-8026-65b28bf36ed8;8
9;or intent provided;04:33:00;18:42:00;8565;22696;false;2025-10-28T18:05:12;2025-10-28T23:09:03;false;2025-10-29T00:51:21;7c1cf0b0-d5a7-40b6-a9d0-cefb0a2e1ac1;9
10;deeply;22:31:00;18:44:00;13931;28441;false;2025-10-28T13:12:06;2025-10-28T22:37:21;false;2025-10-28T05:14:50;95e15cf8-3a25-44e5-9b3a-dd85ad42e908;10
