id;seat_no;row_no;col_no;price_factor;type;created_at;updated_at;is_deleted;deleted_at;deleted_by;floor_id
1;hefty;31024;1168;25971.13;SLEEPER;2025-10-28T08:52:22;2025-10-29T01:47:15;false;2025-10-28T16:14:05;dfd1cfd6-d994-4c1b-8283-35ba2b3b4bd3;1
2;kiddingly includ;29564;28781;30319.88;SLEEPER;2025-10-28T22:34:48;2025-10-29T04:39:24;true;2025-10-28T23:59:09;12ab39d8-435f-45d5-84a6-79b524d0f7ce;2
3;where obnoxiousl;8383;28385;8588.68;SLEEPER;2025-10-28T23:40:58;2025-10-28T22:28:40;true;2025-10-28T15:00:27;299c4568-2348-4bd5-a0cc-e7a4e0a8826a;3
4;while;13584;10041;10542.97;SLEEPER;2025-10-29T00:33:29;2025-10-28T05:14:45;false;2025-10-28T22:25:36;d6bd44dc-c1e8-4f13-a610-8bdea15fced9;4
5;acidly barring b;22790;4412;18375.31;NORMAL;2025-10-28T23:36:46;2025-10-28T13:43:43;false;2025-10-28T12:00:08;3fc14d3a-1bc5-48cc-acd5-52e27cac2725;5
6;oof;32304;102;18503.14;SLEEPER;2025-10-28T23:00:19;2025-10-28T18:56:07;false;2025-10-29T02:51:36;bd33673b-0df0-4d75-8a1f-65aa5a560745;6
7;brr yippee oppos;11341;24646;15920.49;SLEEPER;2025-10-28T15:25:39;2025-10-28T21:28:22;true;2025-10-28T13:04:25;e42bd1e5-5039-4079-8016-ae941a92c7e2;7
8;upward colligate;17470;32621;26448.33;SLEEPER;2025-10-28T10:18:55;2025-10-28T10:52:31;false;2025-10-28T10:26:54;f5dc1abe-426c-40f5-88c8-4f66a7a29f38;8
9;elegantly rise;18186;20950;32443;NORMAL;2025-10-28T06:56:09;2025-10-29T01:37:47;false;2025-10-29T02:18:42;a7679f20-03ac-414b-8d87-ea9c2a0d5dad;9
10;gust blowgun;8453;17865;31919.12;SLEEPER;2025-10-29T00:08:28;2025-10-28T15:37:03;true;2025-10-28T12:26:58;59626aae-6406-4903-82df-b8ac77ab6f3b;10
