id;seat_no;user_id;status;expires_at;idempotency_key;booking_id;created_at;updated_at;is_deleted;deleted_at;deleted_by;trip_id
1;before exempt;477;COMMITTED;2025-10-28T01:15:13;wearily valiantly colon;14479;2025-10-28T21:55:57;2025-10-28T04:32:29;false;2025-10-28T08:25:14;26e038d4-06b7-434c-9816-c3296a3a9851;1
2;floss;9475;COMMITTED;2025-10-28T20:03:05;lumpy formal hunt;17644;2025-10-28T16:51:06;2025-10-28T11:21:10;true;2025-10-28T04:05:38;cfbcd2f3-116b-45c3-a198-24a2dd4cf262;2
3;oval boo segrega;8998;HELD;2025-10-28T13:23:31;almost oily;30477;2025-10-28T23:10:56;2025-10-28T04:48:53;false;2025-10-28T03:18:28;e4f56e02-701c-42e9-8304-ce813cb636d1;3
4;woot;22343;EXPIRED;2025-10-28T15:54:37;anenst as;32110;2025-10-28T00:54:31;2025-10-28T02:36:07;false;2025-10-28T17:55:29;661ec544-d3c8-4a52-a518-57417fe3af25;4
5;which;10478;COMMITTED;2025-10-28T05:56:35;after decode conclude;32168;2025-10-28T07:06:30;2025-10-28T02:25:00;true;2025-10-28T20:24:45;a6ecc623-d4f4-45d7-834c-9ba9b8d6f8a5;5
6;super;7594;COMMITTED;2025-10-28T16:37:09;against;17631;2025-10-28T20:18:52;2025-10-28T21:01:31;true;2025-10-28T10:26:51;7818ea78-4308-46df-a9f8-524be2e9bb64;6
7;grass juggernaut;13897;EXPIRED;2025-10-28T08:53:10;drat dead ready;29431;2025-10-28T20:44:04;2025-10-28T19:29:30;false;2025-10-28T06:27:54;7f5d249f-b8a1-4c40-9dcb-2c9e45f48813;7
8;stunt aged likew;27056;HELD;2025-10-28T15:36:57;on;31081;2025-10-28T21:57:04;2025-10-28T11:49:12;true;2025-10-28T15:32:13;ee00cbaa-4277-4f17-a550-84a32818a58f;8
9;after than;4175;EXPIRED;2025-10-28T02:15:34;amid;26344;2025-10-28T00:56:03;2025-10-28T21:29:37;false;2025-10-28T20:38:44;88e8a6d5-f74d-468a-88f6-37a7c13a301d;9
10;paintwork wherev;2242;HELD;2025-10-28T07:52:53;defensive omelet;17939;2025-10-28T05:17:34;2025-10-28T01:53:24;true;2025-10-28T01:07:35;b6c01f88-b662-43e7-8694-522c13cfbebb;10
