id;name;created_at;updated_at;is_deleted;deleted_at;deleted_by
1;with onto huzzah;2025-10-28T19:48:21;2025-10-28T11:25:41;true;2025-10-28T19:39:55;8386d7a2-9df8-4035-a50e-266078da8c14
2;coolly yet deceivingly;2025-10-28T19:58:55;2025-10-28T01:56:44;false;2025-10-28T14:38:38;10b69963-50e0-4af5-b91f-e2d2f07aa60a
3;instead eminent reschedule;2025-10-28T01:45:05;2025-10-28T00:09:07;true;2025-10-28T19:28:20;d86e2f51-afbe-4d34-9714-19c016d8dfdf
4;redraw procrastinate convoke;2025-10-28T09:04:05;2025-10-28T14:37:03;true;2025-10-28T14:04:39;89febb52-2241-4693-b550-b06d21cf616b
5;worth;2025-10-28T10:02:01;2025-10-28T19:25:37;false;2025-10-28T17:22:24;45ff5c79-6edc-4c4e-8a6b-b56c89492e7c
6;powerful shinny;2025-10-28T11:35:45;2025-10-28T17:08:05;false;2025-10-28T06:39:45;310c24d4-9b70-48a7-928c-15ceda1c83d0
7;ick;2025-10-28T01:27:20;2025-10-28T10:21:15;true;2025-10-28T03:31:21;abff6077-8538-44a3-84d4-5dc767d9ae95
8;forswear dilate kowtow;2025-10-28T08:12:43;2025-10-28T01:37:35;false;2025-10-28T14:24:18;1b7ad5e3-ad06-4566-be73-3f1dfc5b28f1
9;since zowie;2025-10-28T06:01:06;2025-10-28T06:35:06;false;2025-10-28T23:32:14;8c2b046a-c614-464f-bdb7-e8b76ff507d0
10;interior yum;2025-10-28T19:35:49;2025-10-28T13:51:46;true;2025-10-28T03:01:51;78713818-048b-433a-a1c2-d30e130cee46
