id;name;phone_number;description;active;created_at;updated_at;is_deleted;deleted_at;deleted_by;address_id
1;furthermore;considering anti;gadzooks arcade;false;2025-10-28T07:38:07;2025-10-28T14:02:31;false;2025-10-28T09:48:21;b3af3fad-833d-4657-9911-8b4edc5ebfc1;1
2;instead;upbeat solicit when;like;true;2025-10-28T00:34:15;2025-10-28T11:37:35;true;2025-10-28T17:04:59;fc664fc8-12a6-4be6-ac49-69f282bb5664;2
3;now;hover carefully captain;gah;true;2025-10-28T00:32:11;2025-10-28T13:38:11;true;2025-10-28T15:23:26;fa4fe237-d8c8-4b57-98e0-4ecf12eacf03;3
4;abnegate furthermore yahoo;essay dilate concrete;cosset although;true;2025-10-28T17:28:27;2025-10-28T12:42:56;true;2025-10-28T17:54:33;eb58fda9-afc5-4acd-9ff9-bd752860b5d5;4
5;ack;pish ditch faithfully;kettledrum gee because;true;2025-10-28T01:23:41;2025-10-28T22:56:26;true;2025-10-28T15:21:13;76a1a5d3-0b00-4439-a690-aa8432637900;5
6;ouch wherever per;ride;wallop but fiercely;true;2025-10-28T11:48:21;2025-10-28T17:22:50;true;2025-10-28T13:35:34;98cf77bd-f116-4d7d-b76c-5958782d7d62;6
7;off showy;analyse parade lost;fine;true;2025-10-28T15:20:33;2025-10-28T05:36:14;true;2025-10-28T11:20:38;7bdfbcd6-ecbf-4c0d-8861-76ec6804802b;7
8;reluctantly boohoo;willfully boo good-natured;cop-out aw;true;2025-10-28T18:14:05;2025-10-28T00:07:28;true;2025-10-28T03:48:47;94c183b8-277c-4c1c-9661-314a86947c9f;8
9;wherever yuck magnificent;entrench going ick;against phooey;true;2025-10-28T19:30:54;2025-10-28T06:27:13;true;2025-10-28T06:16:58;4e4fb263-bbce-4851-87a4-fe4baecd7897;9
10;abacus jubilant;huzzah furthermore;unto concerning thin;true;2025-10-28T10:16:22;2025-10-28T10:42:46;false;2025-10-28T11:01:23;fa786a49-4cd6-4309-b4ab-f508c0cb5702;10
