id;trip_code;departure_time;arrival_time;created_at;updated_at;is_deleted;deleted_at;deleted_by;route_id;vehicle_id;slot_id;driver_id
1;aw never faint;2025-10-28T14:51:48;2025-10-28T23:16:14;2025-10-28T08:23:43;2025-10-28T21:26:50;true;2025-10-28T16:10:08;f9b61c4b-39bd-4f9b-b04d-61215f464ec8;1;1;1;1
2;towards clone;2025-10-28T17:09:13;2025-10-28T07:18:24;2025-10-28T02:26:47;2025-10-28T06:51:35;false;2025-10-28T15:13:32;4e17eca7-cd08-4fe7-b760-cb1b39a64bdd;2;2;2;2
3;rosin likely following;2025-10-28T15:41:42;2025-10-28T05:08:50;2025-10-28T08:10:55;2025-10-28T04:00:02;true;2025-10-28T12:59:16;b4b156e1-4d49-4666-8587-9376040dfd11;3;3;3;3
4;soon;2025-10-28T17:27:08;2025-10-28T07:08:43;2025-10-28T02:40:20;2025-10-28T13:27:11;false;2025-10-28T23:28:55;4b3b52d6-fed8-49da-85a2-9c4bab9bb3a5;4;4;4;4
5;factorize pro;2025-10-28T05:33:21;2025-10-28T07:08:05;2025-10-28T00:27:11;2025-10-28T06:55:22;true;2025-10-28T00:13:07;f605125d-fb68-4563-9a74-30af35aef541;5;5;5;5
6;wisecrack jovially barring;2025-10-28T23:27:55;2025-10-28T02:22:24;2025-10-28T02:05:34;2025-10-28T09:16:45;true;2025-10-28T02:51:58;08f4b01f-1cb8-4cbe-937a-b98aef3fde1f;6;6;6;6
7;whenever;2025-10-28T08:05:07;2025-10-28T08:50:55;2025-10-28T00:42:05;2025-10-28T13:21:23;true;2025-10-28T12:26:25;d476f298-a8b9-4561-975d-f9d295df1ce4;7;7;7;7
8;embody;2025-10-28T12:32:24;2025-10-28T20:27:15;2025-10-28T21:40:40;2025-10-28T05:38:35;false;2025-10-28T06:36:36;393bedba-56fa-4973-b412-dd4d6dfc9a37;8;8;8;8
9;yowza boo;2025-10-28T02:12:34;2025-10-28T17:57:57;2025-10-28T09:07:22;2025-10-28T00:10:57;true;2025-10-28T00:54:22;a8133018-260d-422d-a818-5b624fb62a0f;9;9;9;9
10;per wildly;2025-10-28T12:24:18;2025-10-28T23:43:21;2025-10-28T00:06:23;2025-10-28T03:30:17;true;2025-10-28T13:44:33;799b0cf1-7d6d-4797-989e-40e6e6300163;10;10;10;10
