id;slot_code;departure_time;arrival_time;buffer_minutes;sequence;active;created_at;updated_at;is_deleted;deleted_at;deleted_by;schedule_id
1500;SLOT_1500_1;06:51:00;08:37:00;15;1;true;2025-10-30 23:43:54;;false;;\N;1500
1501;SLOT_1500_2;08:04:00;10:54:00;25;2;true;2025-10-30 23:43:54;;false;;\N;1500
1502;SLOT_1500_3;10:21:00;12:58:00;17;3;true;2025-10-30 23:43:54;;false;;\N;1500
1503;SLOT_1500_4;12:09:00;14:22:00;18;4;true;2025-10-30 23:43:54;;false;;\N;1500
1504;SLOT_1501_1;06:50:00;08:49:00;16;1;true;2025-10-30 23:43:54;;false;;\N;1501
1505;SLOT_1501_2;08:52:00;10:18:00;15;2;true;2025-10-30 23:43:54;;false;;\N;1501
1506;SLOT_1502_1;06:06:00;08:01:00;24;1;true;2025-10-30 23:43:54;;false;;\N;1502
1507;SLOT_1502_2;08:09:00;10:50:00;16;2;true;2025-10-30 23:43:54;;false;;\N;1502
1508;SLOT_1502_3;10:31:00;12:38:00;28;3;true;2025-10-30 23:43:54;;false;;\N;1502
1509;SLOT_1503_1;06:53:00;08:37:00;17;1;true;2025-10-30 23:43:54;;false;;\N;1503
1510;SLOT_1503_2;08:35:00;10:54:00;18;2;true;2025-10-30 23:43:54;;false;;\N;1503
1511;SLOT_1503_3;10:33:00;12:36:00;15;3;true;2025-10-30 23:43:54;;false;;\N;1503
1512;SLOT_1504_1;06:54:00;08:08:00;26;1;true;2025-10-30 23:43:54;;false;;\N;1504
1513;SLOT_1504_2;08:07:00;10:34:00;20;2;true;2025-10-30 23:43:54;;false;;\N;1504
1514;SLOT_1504_3;10:58:00;12:48:00;30;3;true;2025-10-30 23:43:54;;false;;\N;1504
1515;SLOT_1505_1;06:47:00;08:25:00;26;1;true;2025-10-30 23:43:54;;false;;\N;1505
1516;SLOT_1505_2;08:20:00;10:13:00;19;2;true;2025-10-30 23:43:54;;false;;\N;1505
1517;SLOT_1505_3;10:19:00;12:56:00;25;3;true;2025-10-30 23:43:54;;false;;\N;1505
1518;SLOT_1506_1;06:34:00;08:10:00;22;1;true;2025-10-30 23:43:54;;false;;\N;1506
1519;SLOT_1506_2;08:37:00;10:31:00;17;2;true;2025-10-30 23:43:54;;false;;\N;1506
1520;SLOT_1506_3;10:51:00;12:34:00;15;3;true;2025-10-30 23:43:54;;false;;\N;1506
1521;SLOT_1507_1;06:24:00;08:19:00;27;1;true;2025-10-30 23:43:54;;false;;\N;1507
1522;SLOT_1507_2;08:53:00;10:52:00;22;2;true;2025-10-30 23:43:54;;false;;\N;1507
1523;SLOT_1508_1;06:27:00;08:22:00;22;1;true;2025-10-30 23:43:54;;false;;\N;1508
1524;SLOT_1508_2;08:37:00;10:12:00;27;2;true;2025-10-30 23:43:54;;false;;\N;1508
1525;SLOT_1508_3;10:37:00;12:36:00;18;3;true;2025-10-30 23:43:54;;false;;\N;1508
1526;SLOT_1508_4;12:39:00;14:55:00;16;4;true;2025-10-30 23:43:54;;false;;\N;1508
1527;SLOT_1509_1;06:52:00;08:14:00;30;1;true;2025-10-30 23:43:54;;false;;\N;1509
1528;SLOT_1509_2;08:13:00;10:02:00;19;2;true;2025-10-30 23:43:54;;false;;\N;1509
1529;SLOT_1509_3;10:17:00;12:25:00;24;3;true;2025-10-30 23:43:54;;false;;\N;1509
1530;SLOT_1510_1;06:15:00;08:35:00;25;1;true;2025-10-30 23:43:54;;false;;\N;1510
1531;SLOT_1510_2;08:42:00;10:19:00;24;2;true;2025-10-30 23:43:54;;false;;\N;1510
1532;SLOT_1510_3;10:55:00;12:52:00;17;3;true;2025-10-30 23:43:54;;false;;\N;1510
1533;SLOT_1511_1;06:09:00;08:16:00;25;1;true;2025-10-30 23:43:54;;false;;\N;1511
1534;SLOT_1511_2;08:14:00;10:38:00;15;2;true;2025-10-30 23:43:54;;false;;\N;1511
1535;SLOT_1511_3;10:22:00;12:00:00;23;3;true;2025-10-30 23:43:54;;false;;\N;1511
1536;SLOT_1512_1;06:11:00;08:16:00;30;1;true;2025-10-30 23:43:54;;false;;\N;1512
1537;SLOT_1512_2;08:58:00;10:02:00;20;2;true;2025-10-30 23:43:54;;false;;\N;1512
1538;SLOT_1513_1;06:15:00;08:01:00;28;1;true;2025-10-30 23:43:54;;false;;\N;1513
1539;SLOT_1513_2;08:07:00;10:22:00;19;2;true;2025-10-30 23:43:54;;false;;\N;1513
1540;SLOT_1514_1;06:29:00;08:24:00;16;1;true;2025-10-30 23:43:54;;false;;\N;1514
1541;SLOT_1514_2;08:13:00;10:53:00;28;2;true;2025-10-30 23:43:54;;false;;\N;1514
1542;SLOT_1515_1;06:43:00;08:00:00;16;1;true;2025-10-30 23:43:54;;false;;\N;1515
1543;SLOT_1515_2;08:41:00;10:59:00;18;2;true;2025-10-30 23:43:54;;false;;\N;1515
1544;SLOT_1515_3;10:15:00;12:23:00;22;3;true;2025-10-30 23:43:54;;false;;\N;1515
1545;SLOT_1515_4;12:12:00;14:24:00;19;4;true;2025-10-30 23:43:54;;false;;\N;1515
1546;SLOT_1516_1;06:50:00;08:15:00;24;1;true;2025-10-30 23:43:54;;false;;\N;1516
1547;SLOT_1516_2;08:31:00;10:25:00;30;2;true;2025-10-30 23:43:54;;false;;\N;1516
1548;SLOT_1517_1;06:48:00;08:38:00;22;1;true;2025-10-30 23:43:54;;false;;\N;1517
